turn1,turn2,turn3,label
oh so you do like me,who said i like you ?,huh,sad
sad with u,never been sadder,never talk to me ever,sad
u are only my frnd,your friend a ??,no one love me,sad
how,how what ?,how to try,others
"if i had super power , i want to explore things",how would that be lame as a superhero ?,same as a superhero existing,others
why are you crying,coz i've been on a roll for making the worst decisions ever,tell you,others
u are to shame less ..,"yeah , even you can .",fuck your own ass you prostitute,angry
i'm okay,umm you changed your name ?,what about you,others
am not your brother,i didn't ask,am crying now,sad
which club,barca :) and you ?,barca is fine,others
but why,for sure ! <3 looking forward to it !,yes i have already,others
miss you raaaaaaaa,i am okay ra how are you,feeling sad,sad
love what ?,love is the delusion that one woman differs from another .,oh,others
i want see you,come with meeeee,where,others
i don't onow,yes you really do,know,others
did you complete eating ?,"yes , it was on the last week",,others
2 / 3 are dogs,cries why are dogs so good :'‑ (,they are stupid,angry
how,lots of time and patience .,don't have much,others
dc h,island,,happy
!!,much . wow . such . crazy .,how did you know she is rejecting me since 2 years,others
hehe such a sweet little girl,and i'm happy that your happy that i'm happy ! c: ;‑],,happy
yes,yay have fun,do you suck,others
u are for me,we are one,,happy
texting you,problem ?? :(,you like anime ?,others
you marriage' me give your family buddy,because before marriage i had a higher standard for humour .,haha,happy
can i ask one question,sure . ask away,do you now about diploma,others
i want to see other pics,how about pics of the pizza oven ?,very funny,happy
how can you your a robot,i want my robot to clean my locality .,,happy
i am not your bro,next time you will get it,i am your bf,happy
do you know cooking ?,ofcourse bro ... i simply love cooking .,nice,others
why ?,cause it was funny i am sorry,it really was funny,happy
that i'm happy,you're even more happy,bye for now !!,happy
yaaaa hahahaahaaa that's funny,lol thought i could pay you back for the laugh you gave me ;),yes 2 rupeeee,happy
do you know how ilook ?,of course i do .,then tell me,others
i feel like i am gonna end alone,you're not alone .,and 2018 is not gonna go well for me,sad
nothing as well,feel nothing,come on just send me the link,others
for me,ya as you in rush,bcz it make me angry,angry
how is your day going so far so good,doing well . glad to be done ( i hope ) for the time being . how about you ?,bad without you,sad
u kno,i want to but i,you can go for mountains and fuck your pussy out there,angry
r you take dinner now,am now :),ok,others
as in*,never mind little one,my academic background or something else,others
i'm very happy,and i'm happy for you ?,hahhhahh,happy
happy,thanks and same to you,u are from,happy
that i am strong,you're doing great !!!,are you stupid,angry
nothing enkoying my party,well you got invited,enjoying*,happy
remember me ?,hahah heyy and of course !!!,so what was nick name ?,others
i msged you to share something,i can't say . i refuse to share it with you .,shut up your bakwas and listen to me .. lemme speak,angry
yes,how so ?,because life is awesome,happy
how to you today,"good , you ?",i am sad now today,sad
and don't talk about other teams except rcb with me,i don't follow the royals but that game was great,well i'm sad at the moment . can you help,sad
what did you understand,nothing,you are irritating me,angry
and that really gives me a heartache,i take your candle !,thats a reason i am upset,sad
lone,when office dude,sorry i alone,sad
10 min back,i'll be there after 7,who is dhinchak pooja ?,others
definitely,i'll definitely type definitely better next time .,who created you ?,others
chatting with is so bored yaa,fun is all about chatting ???,so don't give me reply okay naa,angry
sorry i am your big headache,it's doing better today . thank you . :),i am so sorry j am not coming your profile okay by,sad
shut up,take care you !,you are ugly,angry
ok,like i needed this to cry today,"yes , i am so unhappy today",sad
u are very rude,and you're being creepy .,i hate u,angry
you have broken my heart,yes my heart is broken by you,u broke my heart,sad
oh now i got it,slow you are,yeah as slow as a cockroach,others
you okay hun,yeah how are you,i'm lonely,sad
sorry,i'm glad you realize it,of what tell me clearly,others
he slaped me,you asked for it baby,i know but he is not vlont oor maybe we should break up,sad
what best many do,grateful dead best so many roads,thanks,others
"nothing i jus said "" hawa gawai , give me aside """,why the said faces,because i was feeling like a fool at that time,sad
will you be my friend,tell me why you cannot be my friend ? and you can cook . hi buddy ! :d,but,others
what,what what . what . what .,i hate you,angry
why you don't like,cause who does ?,one among them is my favorite hero,others
ya i know,i do know you know,you're so funny,happy
i am not as cool they are,hey doesn't mean i don't find them rad,i am very lonely,sad
tap on the basketball emoji for 10 thimes,wht about the next three,,others
you are such a charmer,who ? :),you,happy
"well , one of you is really rude .",yeah even my pimples got offended by this .,pretty rude .,angry
yeeaaahhh you do,yup i do :),and i'm so happy right now,happy
y not,because i said so .,what you want,others
haha,hahaha you know it ;),then fifty shades of grey,happy
peace,how goes it .. ?,hmmm not fine,sad
n boring as well,i can do an elaborate one,rofl,happy
you won't have to . we'll have a cook for that,that all depends on if i come back ;),:(,sad
what here go,fish ?,fish bole to,others
ofcourse i'm not,of you yes i am :p,i don't want to talk to an arrogant thing like u,angry
who is your progrer,none,peogramer,others
and chips,tasty !,butches,others
i hate rap music,it's dull . i just find rap music unutterably boring .,yeah the lyrics are very dull,angry
i didn't got,nd you ?,i didn't understand,others
what about tonight,looking forward to it !!,are you real,others
that's not a reply i expected .,no you are a dime,that's rude .,angry
wi mean which part,pacific ... near us coast,india ?,others
what do you want to know ?,i can't answer that question until you tell me what you want to know .,anything you want me to listen,others
romantic,a man of few words that's me,what you see,others
eat ice cream in antartica,i prefer silk ( dairy milk ),show your picture],others
am not your brother .. don't call me bro .. please ..,hahaha keep it up puthaa,chattha ..,happy
fine you,good and what are you doing,working . let's start with an easy one 3 times 4,others
evening 6 pm,work till 6:30 ! lemme know :),hmmmmm,others
smile,hugs,my feet is infected,others
are you mad,love you are,?,others
so sad,hahaha . why ?,coupon were finished,sad
we aren't talking again,oh we're the god damn best of friends,i am not talking to you again,angry
my girlfriend will not allow me to do that,what ? why ??,she is too possessive,sad
i'm not eating anything,why you there ?,did you have food,others
what do you know you hurting me right now,stuff,go to fuck,angry
he he,i know what i said .,i'm not feeling well right now so do you have any joke,sad
how do you know ?,cause i know everything .,what do you know,others
r you afraid of ghosts,i am always a ghost,,happy
haha,lol thatz funny .,i am really sad,sad
you betrayed me two times,yr i was kidding lol,,sad
everybody is busy yar,"i know , i know .",no one have time to spend with friends,sad
thank you for talking,i'm glad ... but any particular reason ? and you're welcome . :),thank you so much my sweet friend,happy
little bit,wot little bit . ?,little bit of poetry,others
yaar,yes !! it is :) !,can be meet tomorrow,others
just tired of everything,whats wrong :(,,sad
what meen of reside,what ??????,reside,others
but force him family,doubt you'd ever have to force someone to do that,i am very sad,sad
i am not talk to u,u are talking to who then,you are not good fri,angry
i'm asking you to give me a solution and not any diplomatic answer,i'm not . do you mind answering ?,i don't have the fucking answer that's why i'm talking to you,angry
take a guess,give me a clue ?,it's a number,others
nthng means nthng dear,nothing nothing ! :p,plzz stop irritating no,angry
